,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
131,51516,6,F184,14.621993990521508,7.983125174820824,-44.0809046494711,62666.945,4.85943024,8035.73301,True,4.68553134800006,9431.55845579694,1.3240976451822557,63.104690454561286,20055347
132,51520,16,F184,14.62199399066776,7.9475231803461455,-44.08280101561722,62667.001,4.84641205,8132.66297,True,4.965241591295914,7289.527244743219,3.3632441455467226,-7.709082888476512,20055347
133,51521,7,F184,14.6219939907084,8.008231274969074,-44.05856763534033,62667.013,4.84344725,8154.9011,True,4.75078327892734,8881.425730382116,0.3631996975520713,-5.324887269988192,20055347
134,51901,9,F184,14.621993990631292,8.021215583048251,-44.06725090283498,62671.945,3.98985157,17900.1623,True,3.985764107776205,17967.61184297096,1.3304192951464429,-10.204045563599747,20055347
135,52660,17,F184,14.62199399051877,7.937202950203537,-44.11218489856161,62681.799,3.66796458,24077.5206,True,3.760548731019036,22109.377123706334,1.8008394120607965,-38.49307164415786,20055347
136,53045,10,F184,14.621993990479682,7.925252840792266,-44.12108405707626,62686.799,3.86574363,20067.8176,True,3.9436231357473295,18678.704248406226,0.1548402433274343,-8.744937989592092,20055347
137,53810,4,F184,14.62199399064114,8.039107654035156,-44.07766571514137,62696.732,4.156417,15354.3274,True,4.251138414321428,14071.507752001922,1.1400936920535951,-53.25725143619517,20055347
138,54190,4,F184,14.621993990600131,7.949984446358185,-44.05727837251659,62701.664,3.997794,17769.6959,True,3.97022558826292,18226.60428145633,0.7164893615285546,54.26532608830511,20055347
139,54575,9,F184,14.621993990564572,7.9425424753523,-44.14598241984925,62706.664,3.83543535,20635.9021,True,3.8553804847830513,20260.20363282228,2.951456942069413,21.561953438331088,20055347
140,662,10,F184,14.621993990863274,7.559270034328816,-44.32499353458386,62006.48422,,,False,,,653.9243150340112,157.55743907679204,50027278
141,6483,5,F184,14.621993990832296,7.55375245597407,-44.35559763715855,62082.1025,,,False,,,751.1824375156427,192.2755633026893,50027278
142,6104,18,F184,14.621993990590646,7.523728076681898,-44.34167993237956,62077.1811,,,False,,,776.3490553687739,159.14183408551776,50027278
143,5714,12,F184,14.62199399081465,7.555059693915237,-44.35073135422399,62072.1137,,,False,,,827.6324270892869,146.74007687933755,50027278
